params,split0_RMSE,split1_RMSE,split2_RMSE,split3_RMSE,split4_RMSE,mean_RMSE,std_RMSE,rank
"{""ridge__alpha"": 0.01}",0.649613301514233,0.6256967615060288,1.2467371399931204,0.20529731455580114,0.18217120529531333,0.5819031445728994,0.38733044346785017,7
"{""ridge__alpha"": 0.02848035868435802}",0.6505061453668046,0.6237139256207539,1.2401167506136768,0.2053539782337142,0.18221724915078638,0.5803816097971471,0.3850262792684952,6
"{""ridge__alpha"": 0.08111308307896872}",0.652937655990308,0.6207218409659432,1.2245232493848386,0.205513512866263,0.18234860121019325,0.5772089720835092,0.37966200858440136,5
"{""ridge__alpha"": 0.23101297000831592}",0.6590648752129283,0.6194331862899427,1.1940723948832186,0.20595335344355045,0.1827217835385922,0.5722491186736465,0.369413489493611,4
"{""ridge__alpha"": 0.6579332246575679}",0.6723278880561374,0.6229168426230725,1.1468884522939313,0.20711083053412657,0.18375654655055704,0.5666001120115649,0.35408649614291304,2
"{""ridge__alpha"": 1.873817422860383}",0.6974989747086315,0.6315885631637691,1.0905650207476736,0.20996383302770164,0.1864844758004074,0.5632201734896366,0.33690278986170347,1
"{""ridge__alpha"": 5.336699231206307}",0.7481490098567166,0.6491512180999987,1.0364576506233303,0.2167086182272387,0.19345332871285367,0.5687839651040276,0.3231654459414481,3
"{""ridge__alpha"": 15.199110829529332}",0.8593340847882198,0.6980196438760082,0.9854686249167507,0.2331416072949643,0.21157717945656132,0.597508228066501,0.319648057117178,8
"{""ridge__alpha"": 43.28761281083057}",1.0704516352414521,0.830217013597277,0.9591204167262511,0.2751164502516053,0.25933419201579677,0.6788479415664765,0.34461851730310045,9
"{""ridge__alpha"": 123.28467394420659}",1.3795353878256693,1.125848186615956,0.9918265654736041,0.37171210974242824,0.37525714337490557,0.8488358786065126,0.4076145320479955,10
"{""ridge__alpha"": 351.11917342151276}",1.7835727280667282,1.6668207060618598,1.1547304990841225,0.5489211905013058,0.6048254638621953,1.1517741175152423,0.515176803476715,11
"{""ridge__alpha"": 1000.0}",2.2759084385231403,2.5105932852651245,1.6831692472006967,0.8256294915788812,0.9820743847705075,1.6554749694676698,0.6721672204442265,12
